movieId,title,year,clean_title,rating_count,rating_mean,rating_std,imdbId,tmdbId
318,"Shawshank Redemption, The (1994)",1994,"Shawshank Redemption, The",102929.0,4.404614,0.7661482,0111161,278
356,Forrest Gump (1994),1994,Forrest Gump,100296.0,4.052744,0.93517375,0109830,13
296,Pulp Fiction (1994),1994,Pulp Fiction,98409.0,4.1969686,0.945559,0110912,680
2571,"Matrix, The (1999)",1999,"Matrix, The",93808.0,4.1564364,0.90719134,0133093,603
593,"Silence of the Lambs, The (1991)",1991,"Silence of the Lambs, The",90330.0,4.148367,0.86292845,0102926,274
260,Star Wars: Episode IV - A New Hope (1977),1977,Star Wars: Episode IV - A New Hope,85010.0,4.0998235,0.9930465,0076759,11
2959,Fight Club (1999),1999,Fight Club,77332.0,4.22878,0.8604316,0137523,550
480,Jurassic Park (1993),1993,Jurassic Park,75233.0,3.698623,0.9373093,0107290,329
527,Schindler's List (1993),1993,Schindler's List,73849.0,4.2369905,0.88331884,0108052,424
4993,"Lord of the Rings: The Fellowship of the Ring, The (2001)",2001,"Lord of the Rings: The Fellowship of the Ring, The",73122.0,4.0921335,1.0092758,0120737,120
1196,Star Wars: Episode V - The Empire Strikes Back (1980),1980,Star Wars: Episode V - The Empire Strikes Back,72151.0,4.1303515,0.95592797,0080684,1891
110,Braveheart (1995),1995,Braveheart,69482.0,3.98863,0.9693495,0112573,197
1,Toy Story (1995),1995,Toy Story,68997.0,3.8974376,0.9214502,0114709,862
589,Terminator 2: Judgment Day (1991),1991,Terminator 2: Judgment Day,68383.0,3.9620447,0.91091233,0103064,280
50,"Usual Suspects, The (1995)",1995,"Usual Suspects, The",67750.0,4.26507,0.79321027,0114814,629
1210,Star Wars: Episode VI - Return of the Jedi (1983),1983,Star Wars: Episode VI - Return of the Jedi,67496.0,3.991555,0.9452153,0086190,1892
5952,"Lord of the Rings: The Two Towers, The (2002)",2002,"Lord of the Rings: The Two Towers, The",67463.0,4.072188,0.9970603,0167261,121
7153,"Lord of the Rings: The Return of the King, The (2003)",2003,"Lord of the Rings: The Return of the King, The",67449.0,4.0943604,1.0103595,0167260,122
1198,Raiders of the Lost Ark (Indiana Jones and the Raiders of the Lost Ark) (1981),1981,Raiders of the Lost Ark (Indiana Jones and the Raiders of the Lost Ark),67408.0,4.111893,0.8773012,0082971,85
858,"Godfather, The (1972)",1972,"Godfather, The",66440.0,4.3170304,0.8752461,0068646,238
2858,American Beauty (1999),1999,American Beauty,65158.0,4.093051,0.90930253,0169547,14
47,Seven (a.k.a. Se7en) (1995),1995,Seven (a.k.a. Se7en),63298.0,4.0871987,0.8458392,0114369,807
1270,Back to the Future (1985),1985,Back to the Future,61879.0,3.9691494,0.85889184,0088763,105
58559,"Dark Knight, The (2008)",2008,"Dark Knight, The",59334.0,4.1733494,0.89702255,0468569,155
