tmdbId,person_id,name,character,order
278,504,Tim Robbins,Andy Dufresne,0
278,192,Morgan Freeman,Ellis Boyd 'Red' Redding,1
278,4029,Bob Gunton,Warden Norton,2
278,6573,William Sadler,Heywood,3
278,6574,Clancy Brown,Captain Byron T. Hadley,4
278,6575,Gil Bellows,Tommy,5
278,6577,James Whitmore,Brooks Hatlen,6
278,6576,Mark Rolston,Bogs Diamond,7
278,12645,Jeffrey DeMunn,1946 D.A.,8
278,92119,Larry Brandenburg,Skeet,9
13,31,Tom Hanks,Forrest Gump,0
13,32,Robin Wright,Jenny Curran,1
13,33,Gary Sinise,Lieutenant Dan Taylor,2
13,35,Sally Field,Mrs. Gump,3
13,34,Mykelti Williamson,Bubba Blue,4
13,37821,Michael Conner Humphreys,Young Forrest Gump,5
13,204997,Hanna Hall,Young Jenny Curran,6
13,9640,Haley Joel Osment,Forrest Junior,7
13,6751,Siobhan Fallon Hogan,School Bus Driver,8
13,3817610,Rebecca Williams,Nurse at Park Bench,9
680,8891,John Travolta,Vincent Vega,0
680,2231,Samuel L. Jackson,Jules Winnfield,1
680,139,Uma Thurman,Mia Wallace,2
680,62,Bruce Willis,Butch Coolidge,3
680,10182,Ving Rhames,Marsellus Wallace,4
680,1037,Harvey Keitel,The Wolf,5
680,7036,Eric Stoltz,Lance,6
680,3129,Tim Roth,Pumpkin,7
680,99,Amanda Plummer,Honey Bunny,8
680,2319,Maria de Medeiros,Fabienne,9
603,6384,Keanu Reeves,Neo,0
603,2975,Laurence Fishburne,Morpheus,1
603,530,Carrie-Anne Moss,Trinity,2
603,1331,Hugo Weaving,Agent Smith,3
603,9364,Gloria Foster,Oracle,4
603,532,Joe Pantoliano,Cypher,5
603,9372,Marcus Chong,Tank,6
603,7244,Julian Arahanga,Apoc,7
603,9374,Matt Doran,Mouse,8
603,9376,Belinda McClory,Switch,9
274,1038,Jodie Foster,Clarice Starling,0
274,4173,Anthony Hopkins,Dr. Hannibal Lecter,1
274,349,Scott Glenn,Jack Crawford,2
274,15854,Ted Levine,Jame Gumb,3
274,16293,Anthony Heald,Dr. Frederick Chilton,4
274,31649,Brooke Smith,Catherine Martin,5
274,6930,Diane Baker,Senator Ruth Martin,6
274,51864,Kasi Lemmons,Ardelia Mapp,7
274,13936,Frankie Faison,Barney,8
274,3801,Tracey Walter,Lamar,9
11,2,Mark Hamill,Luke Skywalker,0
11,3,Harrison Ford,Han Solo,1
11,4,Carrie Fisher,Princess Leia Organa,2
11,5,Peter Cushing,Grand Moff Tarkin,3
11,12248,Alec Guinness,"Obi-Wan ""Ben"" Kenobi",4
11,6,Anthony Daniels,C-3PO,5
11,130,Kenny Baker,R2-D2,6
11,24343,Peter Mayhew,Chewbacca,7
11,24342,David Prowse,Darth Vader (performer),8
11,15152,James Earl Jones,Darth Vader (voice) (uncredited),9
550,819,Edward Norton,Narrator,0
550,287,Brad Pitt,Tyler Durden,1
550,1283,Helena Bonham Carter,Marla Singer,2
550,7470,Meat Loaf,Robert Paulson,3
550,7499,Jared Leto,Angel Face,4
550,7471,Zach Grenier,Richard Chesler (Regional Manager),5
550,7497,Holt McCallany,The Mechanic,6
550,7498,Eion Bailey,Ricky,7
550,7472,Richmond Arquette,Intern at Hospital,8
550,7219,David Andrews,Thomas at Remaining Men Together,9
329,4783,Sam Neill,Grant,0
329,4784,Laura Dern,Ellie,1
