tmdbId,keyword
278,prison
278,friendship
278,police brutality
278,corruption
278,based on novel or book
278,freedom
278,hope
278,prison cell
278,delinquent
278,redemption
278,parole board
278,prison escape
278,wrongful imprisonment
278,interracial friendship
278,framed for murder
278,curious
278,1940s
278,voiceover
278,wistful
278,admiring
278,amused
278,bold
278,epic
13,new year's eve
13,vietnam war
13,vietnam veteran
13,mentally disabled
13,friendship
13,usa president
13,"washington dc, usa"
13,post-traumatic stress disorder (ptsd)
13,waitress
13,based on novel or book
13,hippie
13,single parent
13,parent child relationship
13,optimism
13,1970s
13,drug addiction
13,autism
13,alabama
13,black panther party
13,bus stop
13,family relationships
13,chameleon
13,single mother
13,military
13,anti war protest
13,1960s
13,simpleton
13,college american football
13,mother son relationship
13,america
13,feelgood
13,dramatic
680,drug dealer
680,drug crime
680,gangster
680,dark comedy
680,stolen money
680,crime boss
680,redemption
680,"los angeles, california"
680,theft
680,couple
680,nonlinear timeline
680,multiple storylines
680,disturbed
680,aggressive
680,neo-noir
680,suspenseful
603,man vs machine
603,martial arts
603,fortune teller
603,artificial intelligence (a.i.)
603,saving the world
603,prophecy
603,philosophy
603,dystopia
603,allegory
603,insurgence
603,chosen one
603,simulated reality 
603,cyberpunk
603,woman director
603,gnosticism
274,prison
274,based on novel or book
274,kidnapping
274,psychopath
274,fbi
274,scientific study
274,murder
274,serial killer
274,psychological thriller
274,brutality
274,cannibal
274,psychiatrist
274,biting
274,moth
274,virginia
274,macabre
274,disturbed
274,neo-noir
274,twisted
274,skinning
274,cannibalism
274,psychological horror
274,hannibal lecter
274,past history
274,psychological profiling
274,crime thriller
274,crime horror
11,empire
11,galaxy
11,rebellion
11,android
11,hermit
11,smuggling (contraband)
11,freedom
11,rebel
11,rescue mission
11,space
11,planet
11,desert
11,super power
11,oppression
11,space opera
11,wizard
11,totalitarianism
11,quest
11,powerful
11,tuwaderalit
550,dual identity
550,rage and hate
550,based on novel or book
550,nihilism
550,fight
550,support group
550,dystopia
550,insomnia
550,alter ego
550,breaking the fourth wall
550,split personality
550,quitting a job
550,dissociative identity disorder
550,self destructiveness
329,exotic island
329,island
329,triceratops
329,brontosaurus
329,electric fence
329,dna
329,tyrannosaurus rex
329,paleontology
329,dinosaur
329,amusement park
329,theme park
424,factory
424,hero
424,nazi
424,concentration camp
424,ss (nazi schutzstaffel)
424,holocaust (shoah)
424,world war ii
424,ghetto
424,jew persecution
424,"kraków, poland"
424,defense industry
424,auschwitz-birkenau concentration camp
424,biography
424,based on true story
424,industrialist
424,historical fiction
424,black and white
424,train
424,period drama
424,poland
424,evil
424,historical drama
424,disheartening
120,based on novel or book
120,elves
120,dwarf
120,magic
120,obsession
120,allegory
120,bravery
120,castle
120,troll
120,battle
120,demon
120,uncle nephew relationship
120,fantasy world
120,dark fantasy
120,journey
120,companionship
120,magical creature
120,live action and animation
120,hero's journey
120,wraith
120,sword and sorcery
120,wonder
120,trekking
120,anxious
120,good versus evil
120,wistful
120,christian allegory
120,magical ring
120,comforting
120,tolkien
120,epic fantasy
120,epic
120,hobbit
1891,rebellion
1891,android
1891,spacecraft
1891,asteroid
1891,rebel
1891,space battle
1891,snowstorm
1891,space colony
1891,swamp
1891,sequel
1891,space opera
1891,arctic
1891,tuwaderalit
197,england
197,scotland
197,loss of loved one
197,idealism
197,based on true story
197,catholic
197,medieval
197,war
197,dramatic
197,powerful
862,rescue
862,friendship
862,mission
862,jealousy
862,villain
862,bullying
862,elementary school
862,rivalry
862,anthropomorphism
862,friends
862,computer animation
862,buddy
862,walkie talkie
862,toy car
862,nostalgic
862,boy next door
862,new toy
862,neighborhood
862,toy comes to life
862,resourcefulness
862,toy
862,3d animation
862,joyous
862,amused
862,comforting
862,pixar
280,man vs machine
280,artificial intelligence (a.i.)
280,cyborg
280,shotgun
280,dystopia
280,moral ambiguity
280,post-apocalyptic future
280,villain
280,time travel
280,sequel
280,mental institution
280,juvenile delinquent
280,fictional war
280,urban setting
280,troubled teen
280,morphing
280,nuclear weapons
280,shape shifter
280,savior
280,catch phrase
280,action hero
280,good versus evil
280,suspenseful
629,new york city
629,robbery
629,relatives
629,heist
629,flashback
629,police corruption
629,whodunit
629,"los angeles, california"
629,theft
629,criminal
629,criminal mastermind
629,cargo ship
629,mind game
629,neo-noir
629,mystery villain
629,intense
629,excited
629,rashomon effect
1892,spacecraft
1892,sibling relationship
1892,rebel
1892,emperor
1892,space battle
1892,matter of life and death
1892,forest
1892,sequel
1892,desert
1892,space opera
1892,bold
1892,tuwaderalit
121,mission
121,based on novel or book
121,elves
121,dwarf
121,magic
121,obsession
121,allegory
121,bravery
121,castle
121,reincarnation
121,sequel
121,split personality
121,fantasy world
121,wizard
121,epic battle
121,journey
121,companionship
121,live action and animation
121,hero's journey
121,high fantasy
121,wraith
121,sword and sorcery
121,trekking
121,evil spell
121,good versus evil
121,winged creatures
121,tolkien
121,epic fantasy
121,hobbit
122,army
122,based on novel or book
122,elves
122,dwarf
122,magic
122,kingdom
122,obsession
