tmdbId,person_id,name,character,order
293660,10859,Ryan Reynolds,Wade / Deadpool,0
293660,54882,Morena Baccarin,Vanessa,1
293660,1047649,Ed Skrein,Ajax,2
293660,51990,T.J. Miller,Weasel,3
293660,78452,Gina Carano,Angel Dust,4
293660,122750,Leslie Uggams,Blind Al,5
293660,1492326,Brianna Hildebrand,Negasonic Teenage Warhead,6
293660,80507,Stefan Kapičić,Colossus (voice),7
293660,1109702,Karan Soni,Dopinder,8
293660,215887,Randal Reeder,Buck,9
299536,3223,Robert Downey Jr.,Tony Stark / Iron Man,0
299536,16828,Chris Evans,Steve Rogers / Captain America,1
299536,74568,Chris Hemsworth,Thor,2
299536,16851,Josh Brolin,Thanos,3
299536,103,Mark Ruffalo,Bruce Banner / Hulk,4
299536,1245,Scarlett Johansson,Natasha Romanoff / Black Widow,5
299536,1896,Don Cheadle,James Rhodes / War Machine,6
299536,71580,Benedict Cumberbatch,Doctor Strange,7
299536,1136406,Tom Holland,Peter Parker / Spider-Man,8
299536,172069,Chadwick Boseman,T'Challa / Black Panther,9
299534,3223,Robert Downey Jr.,Tony Stark / Iron Man,0
299534,16828,Chris Evans,Steve Rogers / Captain America,1
299534,103,Mark Ruffalo,Bruce Banner / Hulk,2
299534,74568,Chris Hemsworth,Thor,3
299534,1245,Scarlett Johansson,Natasha Romanoff / Black Widow,4
299534,17604,Jeremy Renner,Clint Barton / Hawkeye,5
299534,16851,Josh Brolin,Thanos,6
299534,1896,Don Cheadle,James Rhodes / War Machine,7
299534,22226,Paul Rudd,Scott Lang / Ant-Man,8
299534,71580,Benedict Cumberbatch,Doctor Strange,9
475557,73421,Joaquin Phoenix,Arthur Fleck,0
475557,380,Robert De Niro,Murray Franklin,1
475557,1545693,Zazie Beetz,Sophie Dumond,2
475557,4432,Frances Conroy,Penny Fleck,3
475557,16841,Brett Cullen,Thomas Wayne,4
475557,74242,Shea Whigham,Detective Burke,5
475557,121718,Bill Camp,Detective Garrity,6
475557,1377670,Glenn Fleshler,Randall,7
475557,1416396,Leigh Gill,Gary,8
475557,6181,Josh Pais,Hoyt Vaughn,9
271110,16828,Chris Evans,Steve Rogers / Captain America,0
271110,3223,Robert Downey Jr.,Tony Stark / Iron Man,1
271110,1245,Scarlett Johansson,Natasha Romanoff / Black Widow,2
271110,60898,Sebastian Stan,Bucky Barnes / Winter Soldier,3
271110,53650,Anthony Mackie,Sam Wilson / Falcon,4
271110,1896,Don Cheadle,Lieutenant James Rhodes / War Machine,5
271110,17604,Jeremy Renner,Clint Barton / Hawkeye,6
271110,172069,Chadwick Boseman,T'Challa / Black Panther,7
271110,6162,Paul Bettany,Vision,8
271110,550843,Elizabeth Olsen,Wanda Maximoff / Scarlet Witch,9
284054,172069,Chadwick Boseman,T'Challa / Black Panther,0
284054,135651,Michael B. Jordan,Erik Killmonger,1
284054,1267329,Lupita Nyong'o,Nakia,2
284054,82104,Danai Gurira,Okoye,3
284054,7060,Martin Freeman,Everett K. Ross,4
284054,206919,Daniel Kaluuya,W'Kabi,5
284054,1083010,Letitia Wright,Shuri,6
284054,1447932,Winston Duke,M'Baku,7
284054,1225953,Sterling K. Brown,N'Jobu,8
284054,9780,Angela Bassett,Ramonda,9
284052,71580,Benedict Cumberbatch,Dr. Stephen Strange,0
284052,5294,Chiwetel Ejiofor,Mordo,1
284052,53714,Rachel McAdams,Dr. Christine Palmer,2
284052,30082,Benedict Wong,Wong,3
284052,1019,Mads Mikkelsen,Kaecilius,4
284052,3063,Tilda Swinton,The Ancient One,5
284052,72873,Michael Stuhlbarg,Dr. Nicodemus West,6
284052,4589,Benjamin Bratt,Jonathan Pangborn,7
284052,78110,Scott Adkins,Lucian / Strong Zealot,8
284052,1070721,Zara Phythian,Brunette Zealot,9
315635,1136406,Tom Holland,Peter Parker / Spider-Man,0
315635,2232,Michael Keaton,Adrian Toomes / Vulture,1
315635,3223,Robert Downey Jr.,Tony Stark / Iron Man,2
315635,3141,Marisa Tomei,May Parker,3
315635,15277,Jon Favreau,Happy Hogan,4
315635,12052,Gwyneth Paltrow,Pepper Potts,5
315635,505710,Zendaya,Michelle,6
315635,119589,Donald Glover,Aaron Davis,7
315635,1649152,Jacob Batalon,Ned,8
315635,1606394,Laura Harrier,Liz,9
283995,73457,Chris Pratt,Peter Quill / Star-Lord,0
283995,8691,Zoe Saldaña,Gamora,1
283995,543530,Dave Bautista,Drax,2
283995,12835,Vin Diesel,Baby Groot (voice),3
283995,51329,Bradley Cooper,Rocket (voice),4
283995,6856,Kurt Russell,Ego,5
283995,12132,Michael Rooker,Yondu,6
283995,543261,Karen Gillan,Nebula,7
283995,139820,Pom Klementieff,Mantis,8
283995,16483,Sylvester Stallone,Stakar Ogord,9
634649,1136406,Tom Holland,Peter Parker / Spider-Man,0
634649,505710,Zendaya,MJ,1
634649,71580,Benedict Cumberbatch,Doctor Strange,2
634649,1649152,Jacob Batalon,Ned Leeds,3
634649,15277,Jon Favreau,Happy Hogan,4
634649,134,Jamie Foxx,Max Dillon / Electro,5
634649,5293,Willem Dafoe,Norman Osborn / Green Goblin,6
634649,658,Alfred Molina,Dr. Otto Octavius / Doc Ock,7
634649,30082,Benedict Wong,Wong,8
634649,1291350,Tony Revolori,Flash Thompson,9
284053,74568,Chris Hemsworth,Thor,0
284053,103,Mark Ruffalo,Bruce Banner / Hulk,1
284053,91606,Tom Hiddleston,Loki,2
284053,112,Cate Blanchett,Hela,3
284053,17605,Idris Elba,Heimdall,4
284053,4785,Jeff Goldblum,Grandmaster,5
284053,62561,Tessa Thompson,Valkyrie,6
284053,1372,Karl Urban,Skurge,7
